"userid","imode","sample_group","intstart","intend","totaltime","finished","indate","spr","birthyear","age","agecat","sex","f10000","f10100","f13400a","f13400b","f13400c","f13400d","f13400e","f13400f","f12700c","f12700rec","f12720rec","f12720main6","f12730c","f12730rec","f12740rec","f12740main6","Q03","Q04a","Q04b","Q04c","Q04d","Q04e","Q04f","Q04g","Q05b","Q05a","Q05c","Q05d","Q05e","Q06a","Q06b","Q06c","Q06d","Q07","Q09","f14610","f15656","f11100","exp_GE","Q_E1","Q_E2","Q_E3","Q_E4","f11100rec","f11700","f11301","f11302","f11303","f11304","f11305","f11306","f11307","f11308","f11309","f11310","f11311","f11312","f11400rec","f11400main6","Q1","Q2","f11600","f11605","Q3","Q9a_web","Q9a_paper","Q9b_web","Q9b_paper","Q9c_web","Q9c_paper","Q9d_web","Q9d_paper","Q4a_web","Q4a_paper","Q4b_web","Q4b_paper","Q4c_web","Q4c_paper","Q4d_web","Q4d_paper","Q4e_web","Q4e_paper","Q4f_web","Q4f_paper","Q4g_web","Q4g_paper","Q4h_web","Q4h_paper","Q4i_web","Q4i_paper","Q5","Q6","Q7","Q8","f11800rec","f11800main6","f11800ZH","f11800TI","f11800GE","f11900","f12010","f12021","f12022","f12023","f12030a","f12030b","f12030c","f12030d","f12030e","f12030f","f12030g","f12030h","f12030i","f12030j","f12030k","f12030l","f12030m","f12030o","f12025","f12301","f12301p","f12301pmain6","f12302","f12302p","f12302pmain6","f10200","f10200rec","f10250","f10300rec","f10300main6","Q14a","Q14b","f14400a","f14400b","f14400c","f14400d","f14400e","f14400f","f14400g","f14400h","f14400i","Q16a","Q16b","Q16c","Q16d","Q16e","f15130a","f15130b","f15130c","f15130d","f15130e","f15130f","f15130g","f15130h","f15130i","f15200","f13700","f14000","f14050","f14010rec","f14010main6","f14070","f13306","f13660a","f13660b","f13660c","f13660d","f13660e","f13660f","f13660g","f13660i","f13660j","f13660k","f13660l","f13660m","f13660n","f12500","f14079a","f14079b","f14079c","f14079d","f14079e","f14079f","f14079g","f14079h","f14081rec","f14081main6","f20211","f20212","f20213","f21000a","f21000b","f21000c","f21000d","f21000e","f21000f","f21000g","f21000h","f21010a","f21010b","f21010c","f21010d","f21010e","f21010f","f21010g","f12026","f21020","f21030","f13322","f12900rec","f12900main6","f12905rec","f12905main6","f15420","f15430","f15435","f15440","f15470","f15480","f15485","f15810","f15811","f15812","f15813","Q08","f15900","f15900rec","f16300","f16300rec","f16312","f16312rec","f16313","f16313rec","f20300","E11","f20500","f20700","f20710","f20221","f20210rec1","f20210rec2","f20210rec3","f20760","f20900","f21310","E6b_lev","f21400","f26100","f21500_f24900","f21500","f24900","f21550_f24950","f21550","f24950","ISCO08prof_r","ISCO08prof_r_pre","ISCO08prof_r_pst","f21700_f25100","f21700","f25100","f21750_f25150","f21750","f25150","f21800","class16_r","class8_r","class5_r","f21910","E6b_lev_partner","f22000_f22400","f22100_f22500","f22150_f22550","ISCO08prof_p","ISCO08prof_p_pre","ISCO08prof_p_pst","f22300_f22700","f22350_f22750","class16_p","class8_p","class5_p","f22910","E6b_lev_main_earner","f23000_f23400","f23100_f23500","f23150_f23550","ISCO08prof_me","ISCO08prof_me_pre","ISCO08prof_me_pst","f23300_f23700","f23350_f23750","class16_h","class8_h","class5_h","class16","class8","class5","f28910","f29100","f21200","canton_sample","bigregion_sample","lingreg_sample","birthcountry_sample","hhsize_sample","taxableincome","smt9","msize","foreigners","msvp","msp","mfdp","mgps","mcvp","mglp","mbdp","weight_d","weight_d_t","weight_d_p","weight_tot","weight_t_zh","weight_p_zh","weight_tot_zh","weight_t_ti","weight_p_ti","weight_tot_ti","weight_t_ge","weight_p_ge","weight_tot_ge"
213,1,1,10/24/2019 17:22:55,10/24/2019 17:51:48,28.8666666666667,1,,3,1962,57,5,2,25,2,4,2,3,4,1,4,33,4,10,2,34,2,10,2,2,,2,4,,,4,,,,,,,,,,,2,2,4,4,,3,,,4,,1,4,,,,,,,,,,,,,,,2,2,,3,2,1,,2,,1,,4,,2,,1,,1,,1,,1,,1,,2,,2,,1,,1,4,2,2,10,2,,,3,4,1,,,,,,,,,,,,,,,,,,,166,10,2,993,993,9,5,2,,,,,,8,2,2,2,8,8,0,,0,,,,,,5,,2,7,3,3,,,10,4,2,1,,10,2,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,,,2,8218,8218,1,4,2,4,3,3,1,,4,7,5,3,3,5,9,2,2,2,2,,,,,3,1,3,2,3,4,2,2,5,2,,2,2,0,3,0,,0,3,0,1991,1,4,,0,3,8218,,,2,6,13,2,2,,2,2,,,,,2143,2143,,2,2,,11,11,,2,5,3,1,13,2,1,1,,2000,2000,,1,4,13,7,1,,,,,,,,,,,,,,5,3,1,15,1,2,"GE",1,"fr",,,104120.93,11,4,22.098151,14.025513,11.497238,18.773014,24.000526,11.474224,5.9310889,0.18411362,0.142744365078352,0.0890674970344977,0.143371715428811,0.0894589417366995,1,1,1,1,1,1,0.582254109,1.1179213,0.650914270463622
214,2,0,,,,,221119,1,1937,82,7,1,2,3,3,3,3,4,4,2,1,16,404,7,8,5,404,7,2,2,1,2,4,4,2,2,2,1,4,2,2,1,1,3,1,3,2,4,3,3,,,,,,0,,2,2,1,2,2,1,2,2,2,2,2,2,70,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,4,0,,,,5,4,,,,,6,,6,,,8,8,6,4,1,8,5,1,9,2,5,5,10,,5,2,2,2,,,,3,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,,,1,,,,1,,,,,,,,,,,,,,1,2,1,3,,,,,2,4,4,4,2,2,4,4,4,4,4,4,3,1,1,1,,0,4,1,1970,1,2,2,0,1,8100,,,1,6,5,,7,1,2,,2,,,,,,,1,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,2,"BE",2,"de",8100,2,60476.303,32,7,14.963744,44.111387,13.763746,8.6378148,7.9815537,0.95778645,7.2543455,8.2653423,1.93056115734379,3.82704202204893,1.93056115734379,3.82704202204893,1,1,1,1,1,1,1,1,1
215,1,1,10/22/2019 11:51:36,10/22/2019 12:25:24,33.7833333333333,1,,2,1959,60,5,2,25,2,,2,,4,2,1,49,10,130,7,42,12,130,7,1,,2,3,,,3,,,,,,,,,,,3,3,5,3,,1,4,,,,1,4,,,,,,,,,,,,,,,2,2,,2,2,3,,3,,2,,4,,3,,1,,3,,1,,2,,1,,2,,1,,2,,1,3,3,3,130,7,,,8,2,2,1,1,1,0,0,1,0,1,0,0,,0,,0,0,,0,,169,50,6,171,30,5,1,1,25,130,7,,,0,0,6,0,10,0,0,,0,,,,,,10,10,2,10,2,10,10,,10,1,2,1,,130,7,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,10,1,0,0,1,1,0,0,0,,,1,,,2,2,2,2,4,4,,,5,3,5,5,5,5,3,2,2,1,3,,,30,5,5,3,1,1,1,1,,1,5,1,5,1,3,1,1,1,,0,4,1,1959,1,2,,,2,8100,,,2,6,13,2,2,,3,3,,,,,,,,2,2,,3,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,"GE",1,"fr",,,86601.858,11,1,47.871845,12.61601,17.868143,15.125433,25.996981,5.405378,5.0114997,0.22442197,0.142744365078352,0.0890674970344977,0.133578438071211,0.0833482787937015,1,1,1,1,1,1,0.582254109,1.46630435,0.853761732832074
216,1,1,12/1/2019 19:00:11,12/1/2019 19:47:07,46.9333333333333,1,,2,1966,53,4,2,25,1,1,1,1,,1,1,44,5,30,5,31,6,30,5,2,,2,2,,,2,,,,,,,,,,,3,2,4,3,,4,,,,4,1,3,,,,,,,,,,,,,,,2,2,,3,1,1,,2,,2,,2,,2,,3,,2,,3,,3,,3,,3,,3,,2,,1,4,2,1,50,6,,,7,1,1,,,,,,,,,,,,,,,,,,,171,30,5,169,50,6,1,1,25,30,5,,,,,8,,8,,,,6,,,,,,8,6,0,,0,0,7,,3,0,1,1,,50,6,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,1,,,2,8331,8331,,,1,,,,,,10,4,,4,2,7,9,,2,,2,,,,,4,2,2,2,2,4,4,1,4,5,3,1,3,1,1,1,4,0,4,1,1987,3,2,2,1,2,8331,,,4,6,10,,1,,3,3,,,,,3310,3310,,1,1,,8,8,,,10,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,2,7,2,1,"GE",1,"fr",,,90384.199,11,4,42.14679,15.695879,16.415144,14.654488,24.759509,8.4017298,6.6851999,0.20739564,0.142744365078352,0.0890674970344977,0.10296648916898,0.0642474921071447,1,1,1,1,1,1,0.582254109,0.81939259,0.477094702411652
217,1,0,10/29/2019 19:49:18,10/29/2019 20:27:05,37.7666666666667,1,,1,1988,31,2,2,12,2,2,2,2,3,2,3,19,13,402,7,47,16,40,1,2,3,1,4,2,4,1,1,2,1,2,3,3,3,3,1,2,1,2,3,3,3,,,,,,0,,2,2,2,1,2,1,1,2,2,2,2,2,60,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,12,20,3,4,5,5,8,8,1,8,8,3,,,5,5,0,0,,7,6,2,10,0,2,6,,,4,2,2,2,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,1,0,0,,,2,8100,8252,1,1,3,1,3,3,,1,0,0,0,0,0,0,0,2,2,1,3,,,,,2,5,4,4,1,1,2,1,5,1,4,1,2,0,1,1,5,0,4,1,1988,1,2,,,1,8250,,,2,4,7,,1,,3,3,,,,,4110,4110,,1,1,,14,14,,3,11,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,4,11,2,1,"BS",3,"de",8100,2,82770.196,11,1,37.722486,11.284585,34.031621,5.7729968,19.402623,4.1344772,5.5636903,0.38312972,1.66414215117431,3.29890711774683,1.66414215117431,3.29890711774683,1,1,1,1,1,1,1,1,1
218,2,0,,,,,191119,2,1945,74,6,1,22,3,3,3,3,4,4,3,96,17,120,7,97,18,,,5,3,2,5,3,2,2,1,3,1,5,2,1,1,1,1,1,2,3,3,3,1,,,,,,0,,2,1,2,2,2,2,2,2,2,2,2,2,50,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,1,1,0,0,0,0,4,0,0,0,0,5,,7,3,,,,,,,,,,,,3,2,1,40,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,,,1,,,,,,,,,1,1,5,3,5,4,9,3,3,1,,,4,,,,,4,4,3,5,3,2,4,3,2,5,5,2,,0,,0,,0,1,0,1945,3,1,,,2,8100,,,2,6,2,,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,"VD",1,"fr",8100,1,69087.644,22,5,22.014179,24.429582,19.461112,19.266195,18.654691,1.9988534,6.199121,0.29046436,2.61214952013098,5.17818663417561,2.61214952013098,5.17818663417561,1,1,1,1,1,1,1,1,1
219,1,0,10/22/2019 14:35:04,10/22/2019 15:04:19,29.2333333333333,1,,2,1976,43,3,2,23,4,3,4,4,4,3,3,10,6,,,64,7,30,5,4,5,4,4,5,4,2,4,4,2,2,5,4,1,3,2,2,3,2,3,3,1,,,,,,0,,2,2,2,2,2,2,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,5,4,4,8,8,0,3,3,2,,,,6,6,6,,,8,2,10,3,3,,,,3,2,2,2,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,,,1,,,1,2,4,4,4,4,,,10,8,5,7,8,6,10,,2,2,3,20,3,20,3,3,4,4,2,4,2,2,2,4,1,5,1,4,0,4,0,4,0,3,0,1976,4,2,1,,2,8100,,,2,6,13,3,2,,2,2,,,,,1223,1223,,2,2,,3,3,,2,9,5,1,3,,1,2,,310,310,,2,11,10,5,2,,,,,,,,,,,,,,9,5,1,9,1,1,"VS",1,"fr",8100,3,64109.695,22,6,21.054783,13.613047,15.033539,23.582796,10.56162,33.052742,0.39458109,,2.08447663582381,4.13215590137159,2.08447663582381,4.13215590137159,1,1,1,1,1,1,1,1,1
220,1,1,10/27/2019 14:02:55,10/27/2019 14:18:55,15.9833333333333,1,,2,1996,23,1,2,25,3,2,2,2,2,2,2,33,4,,,64,7,,,2,,4,3,,,1,,,,,,,,,,,2,2,2,3,,1,3,,,,0,,2,2,1,2,2,1,1,2,2,2,2,1,,,3,,,,1,1,,1,,1,,2,,1,,2,,2,,4,,1,,3,,1,,1,,1,,1,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,25,,,,,9,7,7,7,8,8,5,,4,,,,,,10,10,0,1,3,6,9,,5,6,1,2,2,,,,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,,,2,8515,8212,1,1,1,2,4,3,3,3,8,4,9,7,6,2,3,,,,3,,,,,3,4,4,2,3,2,3,1,4,1,4,4,3,1,3,0,2,0,4,1,1996,4,4,2,0,2,8100,8212,8515,7,,9,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,1,3,,4211,4211,,2,10,11,6,4,11,6,4,7,1,2,"GE",1,"fr",,,152819.29,11,4,33.999181,12.631641,10.840148,29.928811,20.030005,7.6425252,7.7660764,0.20591869,0.142744365078352,0.282968856742758,0.142744365078352,0.282968856742758,1,1,1,1,1,1,1.796684786,1,1.796684786
221,1,0,10/21/2019 15:57:09,10/21/2019 16:35:50,38.6833333333333,1,,2,1999,20,1,1,25,2,2,3,4,4,2,3,33,4,50,6,19,13,30,5,2,4,4,2,5,4,2,4,5,2,2,5,2,3,3,3,1,3,3,3,3,4,,,,,,1,4,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,6,,,7,1,2,1,2,1,0,0,0,0,,1,0,,0,,0,0,0,0,2,169,50,6,993,993,9,,3,,,,3,4,5,3,8,8,10,10,0,,5,,,7,4,,7,5,1,10,2,6,8,,8,5,2,2,1,50,6,2,2,0,0,1,1,0,0,0,1,0,1,0,0,0,8,0,0,0,0,0,0,0,1,,,1,,,1,1,2,4,4,4,,,8,0,8,8,7,7,5,,2,2,3,,,,,2,4,2,1,1,3,2,1,4,2,5,4,5,0,1,1,,0,4,1,1999,4,5,2,2,2,8100,,,7,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,2,,3355,3355,,2,11,10,5,2,10,5,2,7,,1,"GE",1,"fr",8100,5,104120.93,11,4,22.098151,14.025513,11.497238,18.773014,24.000526,11.474224,5.9310889,0.18411362,0.142744365078352,0.0890674970344977,0.10296648916898,0.0642474921071447,1,1,1,1,1,1,0.582254109,0.81939259,0.477094702411652
222,2,0,,,,,181119,1,1951,68,6,2,23,2,2,,4,4,4,3,33,4,50,6,33,4,50,6,2,4,2,2,4,5,3,2,3,1,1,5,2,2,2,1,2,4,2,2,3,4,,,,,,1,3,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,6,,,,2,2,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,139,30,5,141,50,6,1,1,23,30,5,4,4,4,5,10,0,10,8,0,0,0,5,,,4,4,6,6,2,,2,4,8,,,3,2,2,1,50,6,3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,10,0,0,0,0,1,1,0,0,,,1,,,1,1,1,4,4,4,1,1,8,6,9,6,9,5,9,,2,2,3,20,3,20,3,3,4,2,2,1,2,2,1,5,2,2,2,4,0,1,1,3,0,4,1,1951,1,2,1,,1,8100,,,2,1,3,,7,1,3,,3,,,,2635,,2635,4,,4,3,,3,2,14,7,2,11,,7,,,,,,,,,,,,,,,,,,,,,,,,14,7,2,5,2,2,"VS",1,"de",8100,3,66037.033,13,4,16.196967,32.796811,10.018164,3.8725465,6.7864171,44.492659,1.8391443,,2.08447663582381,1.30064059956279,1.50360569979582,0.938197428207468,1,1,1,1,1,1,1,1,1
223,1,1,11/14/2019 20:50:14,11/14/2019 21:15:49,25.55,1,,2,1981,38,3,2,25,3,4,4,3,3,3,4,48,16,,,40,14,,,5,,1,3,,,1,,,,,,,,,,,1,3,4,4,,1,2,,,,0,,2,2,2,2,2,2,2,2,2,2,1,1,10,2,2,,,,1,1,,2,,4,,3,,1,,2,,2,,3,,1,,4,,1,,4,,1,,1,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,25,,,,,7,5,2,1,0,0,0,,8,,,,,,3,2,,,,,,,0,2,3,2,1,10,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,,,2,8100,8212,1,1,1,4,4,1,,2,8,2,8,8,10,8,8,2,1,1,4,,,,,2,3,3,4,4,1,2,3,5,1,5,2,,0,4,0,4,0,4,1,1981,1,4,,1,2,8100,,,1,6,5,,2,,3,3,,,,,5223,5223,,1,1,,2,2,,2,15,8,4,5,,1,3,,7411,7411,,1,5,7,4,4,,,,,,,,,,,,,,15,8,4,7,1,1,"GE",1,"fr",,,67399.549,11,3,44.025754,15.723105,21.080155,9.6332441,21.300523,5.9097189,3.6885461,0.37952324,0.142744365078352,0.282968856742758,0.142744365078352,0.282968856742758,1,1,1,1,1,1,1.796684786,1,1.796684786
224,1,0,11/25/2019 18:03:39,11/25/2019 18:26:40,23,1,,1,1970,49,4,1,1,3,2,1,4,4,4,4,2,16,30,5,114,2,,,4,4,4,2,4,3,2,4,2,2,2,5,5,3,3,2,2,3,2,3,3,3,,,,,,0,,2,2,2,2,2,1,2,2,2,2,2,2,50,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,30,5,3,4,0,0,10,0,10,9,2,,,7,7,7,7,,8,8,2,5,3,3,5,,,4,2,2,2,,,,3,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,,,2,8607,8100,2,4,4,4,4,2,1,,10,3,10,3,8,8,5,,,,3,,,,,3,4,4,,2,2,2,2,2,1,4,2,,0,2,0,2,0,4,1,2013,1,4,,0,5,8100,8607,,7,,13,1,1,,1,1,,,,,1321,1321,,1,1,,1,1,,1,9,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,1,14,1,2,"ZH",4,"de",8607,4,115784.89,22,4,20.744004,31.798249,10.82451,19.909129,9.3997499,4.3559817,15.998333,2.3893289,1.11877245644945,2.21779516678658,1.11877245644945,2.21779516678658,2.360181589,1,2.360181589,1,1,1,1,1,1
225,1,1,11/1/2019 10:59:23,11/1/2019 11:54:01,54.6333333333333,1,,2,1954,65,6,1,25,2,2,2,4,4,4,2,33,4,50,6,107,12,50,6,2,,4,2,,,2,,,,,,,,,,,3,1,3,,,2,,4,,,1,4,,,,,,,,,,,,,,,2,2,,2,2,1,,4,,4,,3,,4,,2,,3,,1,,4,,,,1,,2,,3,,2,2,3,3,50,6,,,7,1,1,,,,,,,,,,,,,,,,,,,169,50,6,171,30,5,2,1,25,50,6,,,2,2,6,1,6,5,3,,1,,,,,,8,6,2,7,1,4,6,,1,2,1,1,,50,6,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,1,,,2,8212,8100,1,2,1,4,4,4,4,,6,2,7,2,3,5,5,,2,1,2,,,30,5,2,5,3,2,2,3,4,2,3,2,2,4,3,1,3,0,3,0,2,0,1954,1,2,,,2,8100,,,1,5,10,,1,,4,4,,1,1,,7311,7311,,,,,2,2,,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,5,1,2,"GE",1,"fr",,,291844.05,21,6,32.71028,15.574163,9.2464115,25.789474,22.787081,9.138756,6.2559809,0.34688995,0.142744365078352,0.0890674970344977,0.10296648916898,0.0642474921071447,1,1,1,1,1,1,0.582254109,0.81939259,0.477094702411652
226,1,0,10/31/2019 12:28:12,12/6/2019 13:11:41,51883.4666666667,1,,1,1968,51,4,2,19,2,3,3,3,4,4,3,10,6,30,5,45,2,30,5,2,3,3,2,3,2,2,2,2,2,2,,,3,4,2,2,3,2,2,4,3,,,,,,0,,1,2,2,2,2,2,2,2,2,2,2,2,30,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,19,30,5,3,,0,0,10,0,5,7,0,,,0,0,0,0,0,0,0,10,0,0,0,0,,,5,1,2,1,30,5,3,4,,,,,,,,,,,,,,10,,,,,,,,,,,2,8248,8248,1,1,1,1,1,1,1,,10,10,10,10,10,10,10,,,,3,,,,,5,5,5,1,1,5,1,4,5,5,5,,,,1,1,,0,2,0,1991,1,5,,1,5,8248,,,6,4,3,,9,1,3,,3,,,,5131,,5131,1,,1,9,,9,2,16,8,5,5,,1,2,,3122,3122,,1,1,6,3,2,,,,,,,,,,,,,,16,8,5,1,3,2,"AG",3,"de",8249,5,74181.541,12,3,21.091788,16.347677,26.428113,16.680704,14.680225,5.6606835,10.85312,2.5390399,2.41978963801147,4.79686260855364,2.41978963801147,4.79686260855364,1,1,1,1,1,1,1,1,1
227,1,0,11/6/2019 09:39:23,11/6/2019 10:33:46,54.3666666666667,1,,2,1968,51,4,1,24,2,4,3,4,4,3,4,19,13,,,16,8,,,3,4,2,3,4,5,2,2,4,1,4,1,2,4,4,4,2,2,2,3,4,3,,,,,,0,,2,2,2,2,2,2,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,24,20,3,5,4,0,6,1,1,3,3,0,,,4,5,4,5,4,,,,,,,,,,6,2,2,2,,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,,,2,8212,8212,2,,,,,,,,0,0,0,0,0,0,0,,,1,3,,,,,3,4,4,2,2,2,3,2,5,5,5,3,,0,,0,4,0,,0,2008,1,3,,0,2,8212,,,7,,8,,1,,4,4,,1,1,,5211,5211,,,,,9,9,,,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,4,2,2,"NE",2,"fr",8212,5,64961.595,12,5,34.354034,13.426542,17.332446,22.569907,17.931647,2.4855748,15.09099,,1.86071679342082,3.68858626025154,1.86071679342082,3.68858626025154,1,1,1,1,1,1,1,1,1
228,2,1,,,,,221119,2,1923,96,7,1,25,2,3,,2,4,3,4,69,9,120,7,19,13,30,5,,,1,,,,,,,,,,,,,,,2,3,3,3,,1,3,,,,0,,2,2,2,2,2,2,1,2,2,2,2,2,404,7,2,,,,2,,,,4,,4,,4,,3,,4,,,,3,,3,,2,,2,,4,,5,2,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,25,30,5,,,,,8,,,,,,5,,,,,,10,9,,1,6,9,10,10,5,3,2,1,,30,5,,2,1,0,0,0,0,1,0,0,0,1,0,0,0,9,0,0,1,0,0,0,1,0,30,5,1,,,,,,,,,1,1,5,4,7,4,10,4,5,,,1,4,,,,,,3,2,4,4,4,4,5,3,4,5,5,3,1,1,1,5,0,4,1,1950,1,2,2,2,2,8100,,,,6,11,,7,1,2,,2,,,,2144,,2144,2,,2,6,,6,1,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,9,1,,"GE",1,"fr",,,192579.52,22,6,52.151507,13.630391,9.5090192,30.020308,20.989129,7.6454426,7.0720344,0.11946004,0.142744365078352,0.282968856742758,0.142744365078352,0.282968856742758,1,1,1,1,1,1,1.796684786,1,1.796684786
229,1,1,10/28/2019 09:41:17,10/28/2019 10:25:52,44.55,1,,2,1946,73,6,1,25,3,3,4,3,4,4,3,19,13,110,7,17,4,110,7,2,,3,3,,,3,,,,,,,,,,,3,3,3,3,,4,,,,4,1,3,,,,,,,,,,,,,,,2,2,,3,2,2,,3,,4,,4,,3,,2,,4,,3,,4,,2,,3,,1,,3,,3,2,3,4,20,3,,,4,1,2,2,2,1,0,,0,0,0,0,0,,0,,1,0,0,0,,167,20,3,164,350,7,1,1,25,,,,,3,6,1,1,2,2,4,,2,,,,,,7,5,1,10,1,5,6,,9,5,2,2,1,110,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,,,1,,,1,2,1,4,4,4,,,0,5,5,7,7,0,0,,,,3,,,,,3,3,2,2,2,3,3,2,4,5,4,3,3,1,1,1,4,0,4,1,1977,1,2,,,2,8100,,,1,1,12,1,7,1,3,,3,,,,2161,,2161,2,,2,5,,5,1,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,7,1,2,"GE",1,"fr",,,67399.549,11,3,44.025754,15.723105,21.080155,9.6332441,21.300523,5.9097189,3.6885461,0.37952324,0.142744365078352,0.0890674970344977,0.180571285946624,0.112670174172819,1,1,1,1,1,1,0.582254109,1.16711236,0.679555967274687
230,2,1,,,,,191119,2,1974,45,4,1,25,2,2,2,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,4,,,,1,1,,,,,,,,,,,,,,,2,2,,3,2,,1,,5,,1,,5,,1,,5,,2,,5,,3,,5,,3,,5,,1,1,3,2,3,50,6,,,7,1,1,,,,,,,,,,,,,,,,,,,169,50,6,171,30,5,1,1,25,50,6,,,2,2,8,0,10,2,0,0,0,,,,,,7,7,0,10,1,7,8,10,10,3,2,1,,50,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,1,,,2,8212,8212,1,2,1,4,4,4,3,3,0,0,5,5,0,0,0,,,,3,,,,,4,3,2,1,1,3,1,1,5,2,3,3,4,0,1,1,,0,4,1,1974,1,5,1,5,2,8212,,,2,6,5,,1,,3,3,,,,,7322,7322,,1,1,,14,14,,2,7,4,4,13,2,2,3,,,,,1,4,,,,,,,,,,,,,,,,,7,4,4,10,2,2,"GE",1,"fr",,,88739.231,22,6,24.868938,17.64077,9.194583,14.979805,26.823474,10.536945,6.4029461,0.10691376,0.142744365078352,0.0890674970344977,0.10296648916898,0.0642474921071447,1,1,1,1,1,1,0.582254109,0.81939259,0.477094702411652
