userid;langint;imode;indate_paper;language_paper;intstart;intend;Finished;Completion_Rate;totaltime;UserLanguage;sex;birthyear;age;agecat;f10000;f10100;f12700c;f12700rec;f12720rec;f12720main6;f12730c;f12730rec;f12740rec;f12740main6;Q03;Q04a;Q04b;Q04c;Q04d;Q05a;Q05b;Q05c;Q06;f12800a;f12800b;f12800c;f12800g;f12800j;f12800l;f12800m;Q08a;Q08b;f14610;f14620;f15656;f13306;f13660a;f13660b;f13660c;f13660d;f13660e;f13660f;f13660g;f13660i;f13660j;f13660k;f13660l;f13660m;f13660n;Q02a;Q02b;Q02c;Q02d;Q02e;Q02f;Q02g;f11100;f11100rec;f11700;f11301;f11302;f11303;f11304;f11305;f11306;f11307;f11308;f11309;f11310;f11311;f11312;f11400rec;f11400main6;f11600;f11605;f11800rec;f11800main6;f11800ZH;f11800TI;f11800GE;f11805;f11810rec;f11810rec_other;f11900;f12010;f12020a;f12020b;f12020c;f12025;f12030a;f12030b;f12030c;f12030d;f12030e;f12030f;f12030h;f12030i;f12030j;f12030k;f12030l;f12030m;f12030n;f12030o;f12301;f12301p;f12301pmain6;f12302;f12302p;f12302pmain6;f13741;f13742;Q12;Q13;f10200;f10200rec;f10250;f10300rec;f10300main7_combined;Q15;f15130a;f15130c;f15130d;f15130e;f15130f;f15130h;f15130i;f15130j;f15200;f13700;f14000;f14050;f14010rec;f14010main6;f14070;Q24;Q25a;Q25b;Q26b;Q27a;Q27b;Q27c;f12500;n13_030a1;n13_030a2;n13_030a3;n13_030a4;n13_030b1;n13_030b2;n13_030b3;n13_030b4;n13_030c1;n13_030c2;n13_030c3;n13_030c4;n13_030d1;n13_030d2;n13_030d3;n13_030d4;n13_030e1;n13_030e2;n13_030e3;n13_030e4;n13_030f1;n13_030f2;n13_030f3;n13_030f4;n13_030g1;n13_030g2;n13_030g3;n13_030g4;f14081rec;f14081main6;f14400a;f14400c;f14400d;f14400e;f14400f;f14400h;f14400i;f14400j;f12026;f13322;f12900rec;f12900main7_combined;f12905rec;f12905main7_combined;f15420;f15430;f15435;f15440;f15470;f15480;f15485;f15811;f15815;f15816;f15817;f15900;f15900rec;f16300;f16300rec;f16312;f16312rec;f16313;f16313rec;f16314;f16314rec;f20300;E11;f20500;f20700;f20710;f20221;f20221_det;f20210rec1;f20210rec2;f20210rec3;f20212;f20213;f20760;f20900;f21310;E6b_lev;f21400;f26100;f21500_f24900;f21500;f24900;f21550_f24950;f21550;f24950;ISCO08prof_r_2dig;ISCO08prof_r_pre_2dig;ISCO08prof_r_pst_2dig;f21700_f25100;f21700;f25100;f21750_f25150;f21750;f25150;f21800;f21910;E6b_lev_partner;f22000_f22400;f22100_f22500;f22150_f22550;ISCO08prof_p_2dig;ISCO08prof_p_pre_2dig;ISCO08prof_p_pst_2dig;f22300_f22700;f22350_f22750;f22910;E6b_lev_main_earner;f23000_f23400;f23100_f23500;f23150_f23550;ISCO08prof_me_2dig;ISCO08prof_me_pre_2dig;ISCO08prof_me_pst_2dig;f23300_f23700;f23350_f23750;f28910;f29100;f21200;class16_r;class8_r;class5_r;class16_p;class8_p;class5_p;class16_h;class8_h;class5_h;class16;class8;class5;birthcountry_sample;hhsize_sample;lingreg_sample;canton_sample;bigregion_sample;smt3;smt9;msize;weight_d;weight_d_t;weight_d_p;weight_tot;weight_t_zh;weight_p_zh;weight_tot_zh;weight_t_ti;weight_p_ti;weight_tot_ti;weight_t_ge;weight_p_ge;weight_tot_ge
2653;1;1; ; ;11/18/2023 11:47:58;11/18/2023 12:21:52;1;2;33,9;DE;2;1980;43;3;14;2;8;5;998;998;-99;-99; ; ;2;2;4;5;3;4;4;4;10;2;3;2;2;3;2;1;3;4;4;4;3;3;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;98;98;0;98; ;4;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;60;60; ; ; ; ; ;                                 -999,00; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;997;997;-99; ; ; ;2; ;2;1;3;0; ; ; ;1;98;98;98;98;98; ; ;98;98;3;0;1;-99;-99; ;2;5;5;4;5;5;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;6;3;3;3;3; ; ;6;98;2;998;998;998;998;2;4;4;3;3;4;4;2;1;3;3;98;0;1;1;98;0;3;0;1;1;2009;1;3; ;1;1;33;8508; ; ;8508;8508;8; ;12;1;1; ;3;3; ; ; ; ;24;24; ;1;1; ;8;8; ;2;12;2;1;4;15;11;11; ; ;2; ; ; ; ; ; ; ; ; ; ;7;1;2;9;5;1;1;1;1; ; ; ;9;5;1;8508;3;de;SH;5;1;12;3;,528720592117611;,369306982223678;,50352095528099;,351705243286309;1;1;1;1;1;1;1;1;1
2654;1;1; ; ;10/31/2023 17:09:33;10/31/2023 17:29:23;1;2;19,8333333333333;DE;1;1952;71;6;9;2;19;13;30;30;85;2;998;998;5;5;3;4;2;2;2;2;8;3;2;2;2;2;2;1;3;3;2;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0; ;1;0; ;2;2;2;1;2;2;2;2;1;2;2;2;30;30; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;98;1;2;0; ; ; ;1;5;2;9;2;2; ; ;5;3;3;0;1;30;30;1;2;5;5;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0; ; ;0;2;0;0;0; ; ;0;98;2;998;998;998;998;4;2;3;1;3;1;2;1;4;4;4;2;0;98;0;98;0;98;0;1;1;1999;2;1; ; ;1;33;8100; ; ;8218;8100;2;2;10; ;7;1;3; ;3; ; ; ;33; ;33;1; ;1;8; ;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5;1;1;10;5;2; ; ; ; ; ; ;10;5;2;8100;2;de;ZG;6;1;12;4;,814663002988221;1,30881754477898;,814663002988221;1,30881754477898;1;1;1;1;1;1;1;1;1
2655;1;1; ; ;10/24/2023 14:03:15;10/24/2023 14:35:56;1;2;32,6666666666667;DE;2;1974;49;4;11;2;21;9;30;30;17;4;50;50;2;5;4;3;1;1;3;5;8;3;3;3;3;3;2;1;3;3;3;3;3;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0; ;1;0; ;1;1;1;2;2;2;2;2;2;2;2;2;30;30; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;2;4;1;2;30;30;4;7;1;10;2;6; ; ;7;2;3;1; ;50;50;3;2;5;5;3;3;98;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0; ; ;2;10;0;10;6; ; ;2;98;1;30;30;501;-99;5;3;3;1;2;1;1;3;4;4;3;3;1;4;0;5;0;98;0;2;0;2020;4;2;1; ;1;33;8207; ; ;8207;8207;1;2;9; ;8;2;1; ;1; ; ; ;41; ;41;2; ;2;3; ;3;2;6; ;1;1; ;43;43; ;2;10; ; ; ; ; ; ; ; ; ; ;7;3;2;11;6;4;11;6;4; ; ; ;11;6;4;8207;2;de;SO;2;2;22;6;1,18003151764904;1,8958096145598;1,18003151764904;1,8958096145598;1;1;1;1;1;1;1;1;1
2656;1;1; ; ;11/7/2023 15:05:19;11/7/2023 15:50:32;1;2;45,2166666666667;DE;2;1996;27;2;1;2;6;8;40;40;13;13;998;998;2;5;4;4;3;2;4;4;7;2;2;2;3;3;2;1;3;2;1;1;3;3;0;0;1;1;0;0;1;0;1;1;1;0;0;98;98;2;5;98;5; ;2;0; ;2;2;2;2;2;2;2;2;2;2;1;1;40;40; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;2;4;1;1;998;998;3;3;6;8;3;4; ; ;6;7;2;0;0; ; ; ;3;5;5;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0; ; ;5;5;7;3;2; ; ;3;98;2;40;40;40;40;2;3;3;4;4;2;4;1;3;2;3;4;0;98;0;98;0;4;1;98;0;1996;4;4;1;2;1;33;8100; ; ;8100;8427;1;2;10; ;2; ;3;3; ; ; ; ;22;22; ;2;2; ;3;3; ;2;5; ;1;3; ;74;74; ;3;5; ; ; ; ; ; ; ; ; ; ;8;2;1;14;7;2;7;4;4; ; ; ;14;7;2;8100;4;de;ZH;4;2;22;6;1,58514417003766;2,54665363854679;1,58514417003766;2,54665363854679;1,776943797;1;1,776943797;1;1;1;1;1;1
2657;2;1; ; ;10/23/2023 19:30:21;10/23/2023 19:56:20;1;2;25,9833333333333;FR;1;1963;60;5;22;3;49;10;10;10;11;8;40;40;4;4;4;3;4;3;3;1;10;3;3;3;3;3;3;1;3;4;2;3;3;2;0;1;0;0;0;1;0;0;1;1;0;0;1;2;0;4;1;1;0; ;4;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;10;10; ; ; ; ;3; ;1;2;1;1;1;1; ;1;0;1;0;1; ; ;0;0;0;0;0;0;126;10;10;128;40;40;3; ;3;1;5;1;22;10;10;4;9;4;10;3;7; ; ;8;8;3;1; ;10;10;3;3;5;5;3;3;3;2;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0; ; ;10;4;6;2;8; ; ;9;1;3;10;10;998;998;2;3;4;3;4;3;2;3;3;2;2;3;1;1;1;2;0;4;1;1;1;1987;1;2; ; ;2;48;8100; ; ;8100;8100;2;2;5; ;4; ;1;1; ; ; ; ;14;14; ;1;1; ;9;9; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;15;1;2;10;5;2; ; ; ; ; ; ;10;5;2;8100;2;fr;VD;1;3;23;8;1,9620866084225;1,37050134801033;1,89259705661365;1,32196346797086;1;1;1;1;1;1;1;1;1
2658;2;1; ; ;11/4/2023 9:55:14;11/4/2023 10:25:43;1;2;30,4833333333333;FR;2;1971;52;4;22;3;19;13;30;30;-99;-99; ; ;5;5;3;4;3;2;1;3;9;3;3;3;3;3;3;1;3;3;3;2;3;3;1;0;0;0;0;0;0;1;0;1;0;0;1;98;0;3;3;0;0; ;4;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;30;30; ; ; ;-99; ;                                 -999,00;4;2;1;1;1;98;0;1; ;0;1;0; ; ;0;0;0;0;0;0;-99;-99;-99; ; ; ;3; ;3;2;5;1;22;50;50;3;8;3;9;2;7; ; ;8;4;3;0;0; ; ; ;3;-99;-99;3;2;2;3;10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;2;8;4;6;4; ; ;2;98;2;40;40;40;40;2;3;3;3;2;2;3;1;3;3;3;3;1;1;1;98;0;4;1;1;1;1971;1;2; ; ;2;48;8100; ; ;8100;8100;1;1;5; ;2; ;3;3; ; ; ; ;51;51; ;2;2; ;3;3; ;2;12;1;1;3; ;21;21; ;1;5; ; ; ; ; ; ; ; ; ; ;9;1;2;16;8;5;5;3;1; ; ; ;16;8;5;8100;2;fr;VD;1;3;33;7;1,9620866084225;1,37050134801033;1,70032486214246;1,18766292253289;1;1;1;1;1;1;1;1;1
2659;2;2;11/20/2023;FR; ; ; ; ; ; ;2;1955;68;6;2;3;110;9;110;350;79;15;-99;-99;3;2;3;2;2;2;-99;-99;7;3;3;3;3;3;2;1;3;2;2;3;3;3;0;0;0;0;0;0;0;1;0;0;0;0;0;-99;1;-99;-99;-99;-99; ;2;0; ;2;2;1;2;2;2;2;2;2;2;2;2;110;350; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;98;2;-98;-98;2; ; ;1;-99;-99;-99;-99;-99; ; ;-99;98;3;1; ;110;350;2; ;5;5;3;2;3;3;-99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;-99;-99;-99;-99;-99; ; ;-99;2;1;998;998;998;998;4;3;3;2;2;2;4;2;3;2;2;3;1;98;0;98;0;1;0; ; ;-99;3;1; ; ;1;33;8212; ; ;8207;8207;1;4;-99;-99;7;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-99;3;1; ; ; ; ; ; ; ; ; ; ; ; ;8212;1;de;BE;2;1;12;2;1,54525443822061;2,48256777645758;1,54525443822061;2,48256777645758;1;1;1;1;1;1;1;1;1
2660;1;1; ; ;11/3/2023 17:32:44;11/3/2023 18:33:20;1;2;60,5833333333333;DE;2;1958;65;6;21;2;8;5;30;30;17;4;30;30;4;5;2;2;1;1;2;4;10;4;3;3;3;3;3;1;4;4;2;2;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0; ;1;0; ;2;2;2;2;2;1;2;2;2;2;2;2;30;30; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;4;1;2;0; ; ; ;3;6;0;10;1;2;10; ;4;3;3;1; ;30;30;2;2;5;5;3;3;3;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;5;8;0;6;6;0; ;7;2;1;998;998;998;998;4;4;3;2;3;2;3;2;3;3;4;3;1;1;1;98;0;4;1;1;1;1986;1;2; ; ;1;33;8100; ; ;8100;8100;2;1;3; ;7;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;2; ; ; ; ; ; ; ; ; ; ; ; ;8100;2;it;TI;7;2;21;6;,303860286532778;,488174463203674;,303860286532778;,488174463203674;1;1;1;1,445131866;1;1,445131866;1;1;1
2661;1;1; ; ;10/26/2023 18:54:59;10/26/2023 19:18:11;1;2;23,2;DE;1;2000;23;1;13;3;6;8;40;40;-99;-99; ; ;4;3;3;4;5;2;2;3;5;3;3;3;3;3;3;1;3;4;3;4;4;3;1;1;0;0;0;1;1;0;1;1;0;0;0;2;0;2;1;4;3; ;4;1;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;40;40; ; ; ;Bürgerliche Partei; ;                                 -999,00;1;2;1;1;2;98; ; ; ; ; ; ; ; ; ; ; ; ; ; ;79;10;10; ; ; ;3; ;4;2;5;1;13;40;40;4;6;0;9;0;2; ; ;5;7;3;1; ;40;40;2;3;5;5;3;2;3;2;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0; ; ;8;0;10;2;4; ; ;6;1;2;998;998;998;998;1;4;4;4;2;2;4;2;3;1;3;3;1;2;0;4;0;4;1;1;1;2000;4;5;0;0;1;33;8100; ; ;8100;8100;1;2;8; ;1; ;3;3; ; ; ; ;74;74; ;1;1; ;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;20;2;3;7;4;4; ; ; ; ; ; ;7;4;4;8100;5;de;BL;3;3;23;7;1,09710028385927;,766315519140364;1,20731768792127;,843301468788437;1;1;1;1;1;1;1;1;1
2662;2;1; ; ;10/24/2023 12:57:04;10/26/2023 14:30:36;1;2;2973,53333333333;FR;2;1978;45;4;21;2;19;13;21;21;61;4;40;40;4;5;5;1;3;2;2;2;7;4;4;3;3;3;3;2;3;3;3;2;3;2;1;0;0;0;0;0;-99;1;0;1;1;0;0;1;0;1;1;0;0; ;4;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;120;350; ;350; ; ;-99; ;5;2;2;2;1;98;-99;-99;-99;-99;-99;-99;-99; ;-99;-99; ;-99;-99;-99;-99;-99;-99; ; ; ;3; ;3;2;4;1;21;40;40;4;7;1;8;2;3;9; ;5;8;3;0;1;40;40;2;3;5;5;4;4;4;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0; ; ;8;1;10;2;3;9; ;8;98;2;998;998;998;998;3;4;4;5;1;3;4;2;1;1;3;3;1;1;1;98;0;4;1;1;1;2001;1;5; ;3;3;73;8100; ; ;8100;8100;1;2;5; ;6;4;3; ;3; ; ; ;12; ;12;1; ;1;2; ;2;2;10; ;1;3; ;24;24; ;1;8; ; ; ; ; ; ; ; ; ; ;11;1;2;9;5;1;9;5;1; ; ; ;9;5;1;8100;5;it;TI;7;2;21;7;,303860286532778;,212243909372987;,302282996495814;,211142185263265;1;1;1;,749547555;,883354167;,662115956073912;1;1;1
2663;1;2;12/14/2023;DE; ; ; ; ; ; ;2;1962;61;5;19;2;6;8;404;350;13;13;30;30;2;5;4;3;3;4;2;2;8;4;3;3;3;4;3;2;4;3;2;1;2;1;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;1;0;0; ;4;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;60;60; ; ; ; ;2; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;108;30;30;997;997;997;3; ;3;1;5;1;19;30;30;4;5;1;9;5;4; ; ;5;2;3;1; ;60;60;3; ;5;5;3;98;3;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0; ; ;7;8;0;4;9; ; ;5;98;3;130;350;130;350;5;1;3;4;3;2;2;1;4;3;2;2;0;1;1;4;0;4;1; ; ;2011;1;2;0;0;1;33;8542; ; ;8542;8542;7;4;4; ;1; ;3;3; ; ; ; ;81;81; ;1;1; ;1;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;2;1;8;4;5; ; ; ; ; ; ;8;4;5;8542;2;de;AG;3;1;12;3;1,76652879708526;1,23390582623205;1,68233331687956;1,17509597623718;1;1;1;1;1;1;1;1;1
2664;1;1; ; ;10/23/2023 21:56:05;10/23/2023 22:15:45;1;2;19,6666666666667;DE;1;1988;35;3;2;3;6;8;21;21;4;16;21;21;4;5;4;2;3;1;2;4;10;3;3;3;4;4;3;1;3;2;3;4;3;3;1;0;0;0;0;0;1;1;0;0;0;0;1;2;1;4;2;0;0; ;4;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;40;40; ; ; ;politische weltlage, krieg israel; ;                                 -999,00;3;2;1;1;1;1;1;1;1; ;0;0; ; ;0;0;0;0;0;0;26;40;40;17;21;21;3; ;3;1;5;1;2;20;21;3;7;2;9;2;4; ; ;5;6;4;0;0; ; ; ;2;2;2;4;1;2;3;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;7;5;9;4;2; ; ;9;98;2;20;21;20;21;2;4;3;4;3;2;3;3;3;2;3;3;1;1;1;98;0;4;1;2;0;2015;4;4;1;2;1;33;8100; ; ;8100;8100;2;3;11;1;1; ;2;2; ; ; ; ;31;31; ;1;1; ;5;5; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7;2;1;6;3;2; ; ; ; ; ; ;6;3;2;8100;3;de;BE;2;1;11;3;1,54525443822061;1,07934750765307;1,70049451545115;1,18778142397277;1;1;1;1;1;1;1;1;1
2665;1;1; ; ;10/24/2023 11:22:47;10/24/2023 15:14:23;1;2;231,6;DE;1;1959;64;5;7;3;70;14;10;10;13;13;21;21;5;5;4;3;3;3;4;4;10;3;3;2;3;3;3;1;3;3;3;3;3;2;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0; ;4;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;10;10; ; ; ; ;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;47;10;10; ; ; ;4; ;3;1;5;1;7;20;21;5;5;0;10;1;2; ; ;4;5;4;1; ;10;10;2;2;3;2;3;4;3;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;10;10;10;1;7;1;2; ; ;7;98;2;30;30;503;-99;3;4;4;3;3;3;4;3;3;2;3;3;1;1;1;3;0;4;1;1;1;2015;3;2;0;0;1;33;8100; ; ;8100;8100;2;2;5; ;2; ;2;2; ; ; ; ;42;42; ;1;1; ;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10;1;1;11;6;4; ; ; ; ; ; ;11;6;4;8100;1;de;NW;6;2;21;5;,29684687590554;,207345099770231;,286333702698003;,200001734808182;1;1;1;1;1;1;1;1;1
2666;1;1; ; ;10/25/2023 14:39:16;10/25/2023 15:32:35;1;2;53,3;DE;2;1945;78;7;2;4;1;16;10;10;33;4;10;10;4;5;5;5;4;1;1;5;10;3;3;3;3;2;1;1;3;3;1;1;3;4;1;0;0;0;1;0;0;1;-99;1;1;0;0;2;0;2;3;0;0; ;4;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;10;10; ; ; ;bin Mitglied der FDP und sehr interessiert; ;                                 -999,00;2;2;1;1;1;2; ;0;1;1;0;0; ; ;0;0;0;0;0;0;18;10;10;26;40;40;2; ;3;1;5;1;2;10;10;3;6;3;10;1;1; ; ;5;5;3;1; ;10;10;3;2;5;5;3;3;4;3;10;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;0;0;1;0;-99;-99;-99;-99;-99;-99;-99;-99;0;0;0;1; ; ;-99;0;0;0;0; ; ;0;98;2;30;30;503;-99;4;2;3;2;2;2;2;3;3;2;4;3;1;1;1;98;0;4;1;1;1;2013;2;1; ; ;1;33;8100; ; ;8100;8100;1;2;5; ;7;1;1; ;1; ; ; ;33; ;33;2; ;2;11; ;11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;2;1;10;5;2; ; ; ; ; ; ;10;5;2;8100;1;de;BE;2;1;13;4;1,54525443822061;1,07934750765307;1,4905274766881;1,04112117542551;1;1;1;1;1;1;1;1;1
2667;2;1; ; ;11/5/2023 16:24:28;11/5/2023 16:59:44;1;2;35,25;FR;1;1985;38;3;2;2;17;4;998;998;1;16;998;998;4;4;3;4;2;3;3;2;10;4;3;3;4;4;3;2;3;3;3;3;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0; ;2;0; ;2;1;2;1;2;1;2;2;2;2;2;2;998;998; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;3;2;3;0; ; ; ;3;8;0;10;2;0; ; ;10;5;3;0;0; ; ; ;2;5;5;3;3;2;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;5;2;2;5;5; ; ;5;98;1;30;30;998;998;4;4;4;1;2;2;2;2;2;3;4;4;0;98;0;98;0;98;0;1;1;1989;1;4; ;2;2;48;8100; ; ;8100;8100;8; ;10; ;1; ;1;1; ; ; ; ;31;31; ;1;1; ;5;5; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;11;1;2;6;3;2; ; ; ; ; ; ;6;3;2;8100;4;fr;BE;2;2;31;5;1,54525443822061;2,48256777645758;1,54525443822061;2,48256777645758;1;1;1;1;1;1;1;1;1
2668;2;1; ; ;10/24/2023 15:17:00;10/24/2023 15:59:54;1;2;42,8833333333333;FR;2;1947;76;7;23;3;19;13;30;30;4;16;30;30;5;5;5;5;1;1;1;5;10;3;3;3;3;3;3;2;4;4;3;1;3;4;1;0;0;0;0;1;0;1;0;1;0;0;1;7;0;3;3;0;0; ;4;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;30;30; ; ; ;parce qu'il soutient mes idées; ;                                 -999,00;1;2;1;2;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;144;21;21;146;21;21;2; ;3;1;5;1;23;30;30;4;10;0;10;0;0; ; ;5;0;3;1; ;30;30;3;2;2;2;3;4;4;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0;10;0;0;0; ; ;0;2;3;10;10;10;10;5;5;3;5;3;1;2;1;4;4;4;4;0;1;1;98;0;4;1;1;1;1947;1;2; ; ;2;48;8100; ; ;8100;8100;2;2;4; ;7;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8;1;2; ; ; ; ; ; ; ; ; ; ; ; ;8100;2;fr;VS;1;1;13;4;1,42887337920939;,998056295749848;1,23824754783713;,864905721386919;1;1;1;1;1;1;1;1;1
2669;2;1; ; ;10/23/2023 11:32:21;10/23/2023 12:07:33;1;2;35,2;FR;2;1977;46;4;2;3;69;9;40;40;96;17;40;40;1;4;5;1;5;1;1;4;3;1;2;2;2;1;1;1;1;1;-99;1;1;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0; ;4;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2;40;40; ; ; ; ;8; ;2;2;2;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;26;40;40;997;997;997;3; ;3;2;4;1;2;40;40;1;98;0;10;0;0; ; ;98;10;2;0;0; ; ; ;1;98;2;3;1;1;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;0;0;10;0;0; ; ;0;1;1;30;30;30;30;1;5;5;5;3;1;5;1;4;1;4;98;0;98;0;98;0;2;0;98;0;1977;4;1; ; ;2;48;8100; ; ;8229;8100;2;2;5; ;8;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;3;1; ; ; ; ; ; ; ; ; ; ; ; ;8100;1;de;BE;2;2;22;7;1,54525443822061;1,07934750765307;1,70049451545115;1,18778142397277;1;1;1;1;1;1;1;1;1
