userid,imode,sample_group,intstart,intend,totaltime,finished,indate,spr,birthyear,age,agecat,sex,f10000,f10100,f13400a,f13400b,f13400c,f13400d,f13400e,f13400f,f12700c,f12700rec,f12720rec,f12720main6,f12730c,f12730rec,f12740rec,f12740main6,q03,q04a,q04b,q04c,q04d,q04e,q04f,q04g,q05b,q05a,q05c,q05d,q05e,q06a,q06b,q06c,q06d,q07,q09,f14610,f15656,f11100,exp_ge,q_e1,q_e2,q_e3,q_e4,f11100rec,f11700,f11301,f11302,f11303,f11304,f11305,f11306,f11307,f11308,f11309,f11310,f11311,f11312,f11400rec,f11400main6,q1,q2,f11600,f11605,q3,q9a_web,q9a_paper,q9b_web,q9b_paper,q9c_web,q9c_paper,q9d_web,q9d_paper,q4a_web,q4a_paper,q4b_web,q4b_paper,q4c_web,q4c_paper,q4d_web,q4d_paper,q4e_web,q4e_paper,q4f_web,q4f_paper,q4g_web,q4g_paper,q4h_web,q4h_paper,q4i_web,q4i_paper,q5,q6,q7,q8,f11800rec,f11800main6,f11800zh,f11800ti,f11800ge,f11900,f12010,f12021,f12022,f12023,f12030a,f12030b,f12030c,f12030d,f12030e,f12030f,f12030g,f12030h,f12030i,f12030j,f12030k,f12030l,f12030m,f12030o,f12025,f12301,f12301p,f12301pmain6,f12302,f12302p,f12302pmain6,f10200,f10200rec,f10250,f10300rec,f10300main6,q14a,q14b,f14400a,f14400b,f14400c,f14400d,f14400e,f14400f,f14400g,f14400h,f14400i,q16a,q16b,q16c,q16d,q16e,f15130a,f15130b,f15130c,f15130d,f15130e,f15130f,f15130g,f15130h,f15130i,f15200,f13700,f14000,f14050,f14010rec,f14010main6,f14070,f13306,f13660a,f13660b,f13660c,f13660d,f13660e,f13660f,f13660g,f13660i,f13660j,f13660k,f13660l,f13660m,f13660n,f12500,f14079a,f14079b,f14079c,f14079d,f14079e,f14079f,f14079g,f14079h,f14081rec,f14081main6,f20211,f20212,f20213,f21000a,f21000b,f21000c,f21000d,f21000e,f21000f,f21000g,f21000h,f21010a,f21010b,f21010c,f21010d,f21010e,f21010f,f21010g,f12026,f21020,f21030,f13322,f12900rec,f12900main6,f12905rec,f12905main6,f15420,f15430,f15435,f15440,f15470,f15480,f15485,f15810,f15811,f15812,f15813,q08,f15900,f15900rec,f16300,f16300rec,f16312,f16312rec,f16313,f16313rec,f20300,e11,f20500,f20700,f20710,f20221,f20210rec1,f20210rec2,f20210rec3,f20760,f20900,f21310,e6b_lev,f21400,f26100,f21500_f24900,f21500,f24900,f21550_f24950,f21550,f24950,isco08prof_r,isco08prof_r_pre,isco08prof_r_pst,f21700_f25100,f21700,f25100,f21750_f25150,f21750,f25150,f21800,class16_r,class8_r,class5_r,f21910,e6b_lev_partner,f22000_f22400,f22100_f22500,f22150_f22550,isco08prof_p,isco08prof_p_pre,isco08prof_p_pst,f22300_f22700,f22350_f22750,class16_p,class8_p,class5_p,f22910,e6b_lev_main_earner,f23000_f23400,f23100_f23500,f23150_f23550,isco08prof_me,isco08prof_me_pre,isco08prof_me_pst,f23300_f23700,f23350_f23750,class16_h,class8_h,class5_h,class16,class8,class5,f28910,f29100,f21200,canton_sample,bigregion_sample,lingreg_sample,birthcountry_sample,hhsize_sample,taxableincome,smt9,msize,foreigners,msvp,msp,mfdp,mgps,mcvp,mglp,mbdp,weight_d,weight_d_t,weight_d_p,weight_tot,weight_t_zh,weight_p_zh,weight_tot_zh,weight_t_ti,weight_p_ti,weight_tot_ti,weight_t_ge,weight_p_ge,weight_tot_ge,year
1781,2,0,,,,,191119.0,2,1958,61,5,1,23,2.0,3.0,3.0,3.0,,,3.0,,,,,,,,,2.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,5.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,,,,,,0.0,,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,23.0,,,1.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,2.0,,,,,,,,,,5.0,2.0,2.0,1.0,20.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,1.0,,,,,,,,,10.0,,,,10.0,10.0,,1.0,1.0,2.0,20.0,3.0,20.0,3.0,5.0,3.0,3.0,5.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0,3.0,1.0,2.0,0.0,3.0,0.0,2.0,0.0,1958.0,1.0,2.0,1.0,,2.0,8100.0,,,2.0,6.0,8.0,,1.0,,1.0,1.0,,,,,4000.0,4000.0,,2.0,2.0,,11.0,11.0,,1.0,11.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,6.0,4.0,8.0,1.0,2.0,VS,1,fr,8100.0,2.0,65856.322,12.0,3.0,27.780339,13.985887,21.469151,15.867559,18.500694,24.800675,0.82504071,,2.08447663582381,4.13215590137159,2.08447663582381,4.13215590137159,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2019
1782,1,0,10/24/2019 21:32:10,10/24/2019 21:56:38,24.4333333333333,1.0,,1,1993,26,2,2,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,2.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,6.0,6.0,,,3.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,3.0,30.0,5.0,6.0,60.0,4.0,2.0,1.0,1.0,,,3.0,4.0,7.0,2.0,10.0,1.0,10.0,10.0,3.0,,,7.0,7.0,9.0,8.0,9.0,7.0,6.0,1.0,9.0,3.0,5.0,8.0,,,4.0,2.0,2.0,2.0,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,1.0,,,1.0,1.0,1.0,4.0,4.0,1.0,,,6.0,4.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,1.0,3.0,,,30.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,4.0,4.0,4.0,0.0,1.0,1.0,3.0,0.0,4.0,1.0,1993.0,4.0,2.0,1.0,,1.0,8100.0,,,7.0,,13.0,2.0,1.0,,3.0,3.0,,,,,3100.0,3100.0,,1.0,1.0,,4.0,4.0,,3.0,6.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,2.0,15.0,1.0,1.0,ZH,4,de,8100.0,2.0,81688.828,21.0,5.0,11.112626,31.564525,11.544984,11.510169,12.447918,5.1188752,13.875319,2.185461,1.11877245644945,0.698074928508691,0.807009593382724,0.503545793390675,0.581216356,0.707729032,0.411343689014447,1.0,1.0,1.0,1.0,1.0,1.0,2019
1783,1,0,10/31/2019 16:26:25,11/1/2019 15:33:06,1386.68333333333,1.0,,1,1975,44,3,2,17,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,10.0,30.0,5.0,,,,,2.0,3.0,4.0,2.0,4.0,4.0,2.0,2.0,5.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,5.0,,,,1.0,2.0,2.0,2.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,,,,0.0,0.0,,0.0,,85.0,30.0,5.0,86.0,50.0,6.0,1.0,1.0,17.0,30.0,5.0,3.0,4.0,0.0,2.0,10.0,0.0,9.0,6.0,0.0,,,3.0,3.0,10.0,0.0,9.0,9.0,6.0,0.0,,1.0,3.0,9.0,,,0.0,3.0,1.0,,30.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,1.0,,,1.0,2.0,3.0,1.0,2.0,4.0,,,1.0,7.0,2.0,2.0,1.0,6.0,1.0,2.0,,2.0,2.0,20.0,3.0,20.0,3.0,4.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,,0.0,4.0,1.0,1975.0,1.0,5.0,,1.0,1.0,8100.0,,,2.0,6.0,5.0,,3.0,,3.0,3.0,,,,,2622.0,2622.0,,2.0,2.0,,14.0,14.0,,2.0,14.0,7.0,2.0,6.0,,1.0,3.0,,3100.0,3100.0,,1.0,1.0,6.0,3.0,2.0,,,,,,,,,,,,,,14.0,7.0,2.0,7.0,2.0,2.0,SG,5,de,8100.0,5.0,57539.738,13.0,5.0,24.622426,36.700607,12.992538,13.749215,9.9065486,15.792594,5.4187879,0.76016459,2.61175045427014,1.62964104196245,2.47815394430527,1.54628148693844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2019
1784,1,0,11/17/2019 11:25:30,11/17/2019 15:23:34,238.05,1.0,,1,1983,36,3,1,6,2.0,1.0,2.0,2.0,3.0,2.0,2.0,45.0,2.0,10.0,2.0,1.0,16.0,20.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,,,,,,0.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,20.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,6.0,20.0,3.0,4.0,,6.0,9.0,4.0,6.0,6.0,5.0,7.0,,,6.0,7.0,9.0,9.0,7.0,6.0,5.0,2.0,9.0,4.0,4.0,8.0,,,6.0,1.0,2.0,1.0,20.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,1.0,1.0,2.0,4.0,4.0,4.0,,,5.0,6.0,6.0,6.0,8.0,8.0,7.0,2.0,,2.0,2.0,40.0,1.0,20.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0,0.0,4.0,1.0,1983.0,3.0,1.0,,,1.0,8100.0,,,2.0,4.0,11.0,1.0,1.0,,2.0,2.0,,,,,1221.0,1221.0,,3.0,3.0,,1.0,1.0,,,9.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,5.0,1.0,7.0,2.0,1.0,OW,6,de,8100.0,1.0,67830.894,32.0,5.0,15.105289,35.886525,2.7895981,17.021277,,35.035461,,,0.575619863129791,1.14107828003476,0.575619863129791,1.14107828003476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2019
1785,1,0,10/21/2019 15:56:40,11/6/2019 16:59:00,23162.3166666667,1.0,,2,1942,77,7,1,22,2.0,2.0,,,,,,19.0,13.0,10.0,2.0,109.0,12.0,10.0,2.0,2.0,,,,,2.0,,,,,,,,1.0,,,,1.0,2.0,3.0,3.0,4.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,124.0,10.0,2.0,993.0,993.0,9.0,1.0,1.0,22.0,10.0,2.0,5.0,5.0,,,,5.0,,,,,,8.0,,,,,9.0,,,,,,,,,8.0,2.0,1.0,,10.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,,1.0,,,,,,,,,,,9.0,,,,1.0,2.0,2.0,3.0,,,,,4.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0,3.0,5.0,3.0,2.0,0.0,1.0,1.0,,0.0,4.0,1.0,1942.0,2.0,1.0,,,2.0,8100.0,,,1.0,6.0,5.0,,7.0,1.0,3.0,,3.0,,,,4311.0,,4311.0,3.0,,3.0,2.0,,2.0,,11.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,6.0,4.0,5.0,1.0,2.0,VD,1,fr,8100.0,1.0,88125.517,23.0,8.0,23.631841,30.586451,19.464105,19.66633,12.285137,0.20222447,15.318504,0.20222447,2.61214952013098,1.62989004511825,2.62362971352429,1.63705328473512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2019
1786,1,0,10/24/2019 17:26:27,10/24/2019 17:51:45,25.2833333333333,1.0,,3,1938,81,7,2,21,3.0,3.0,3.0,4.0,4.0,4.0,4.0,49.0,10.0,,,65.0,15.0,,,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,7.0,,1.0,,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,0.0,0.0,0.0,2.0,110.0,30.0,5.0,111.0,40.0,1.0,1.0,1.0,21.0,80.0,7.0,4.0,4.0,0.0,0.0,4.0,7.0,5.0,0.0,0.0,8.0,,7.0,7.0,5.0,4.0,5.0,8.0,8.0,5.0,0.0,6.0,6.0,7.0,0.0,,3.0,2.0,2.0,1.0,80.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,1.0,1.0,1.0,4.0,4.0,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,,,,,4.0,5.0,3.0,4.0,2.0,2.0,3.0,2.0,5.0,3.0,5.0,1.0,3.0,1.0,1.0,1.0,4.0,0.0,2.0,0.0,1958.0,2.0,1.0,,,3.0,8100.0,,,1.0,6.0,4.0,,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,TI,7,it,8100.0,1.0,80886.795,12.0,7.0,22.962963,14.610718,13.169869,19.944388,9.908999,14.686552,1.6177958,,0.340904815527355,0.212712695379339,0.319014573808941,0.199053949282643,1.0,1.0,1.0,0.738516082,1.6315,1.204888987783,1.0,1.0,1.0,2019
1787,2,1,,,,,31219.0,2,1938,81,7,2,25,3.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,3.0,4.0,3.0,,1.0,4.0,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,2.0,,3.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,4.0,1.0,50.0,6.0,,,7.0,3.0,1.0,,,,,,,,,,,,,,,,,,,158.0,40.0,1.0,993.0,993.0,9.0,2.0,1.0,25.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,3.0,2.0,2.0,,,,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,2.0,8212.0,8100.0,,,,,,,,1.0,,,,,5.0,,,,,,4.0,10.0,2.0,,,2.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,4.0,3.0,,0.0,,0.0,,0.0,,0.0,1938.0,3.0,1.0,,,2.0,8100.0,,,2.0,4.0,6.0,,7.0,1.0,3.0,,3.0,,,,5200.0,,5200.0,1.0,,1.0,2.0,,2.0,,15.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,8.0,4.0,1.0,3.0,1.0,GE,1,fr,,,75247.247,11.0,4.0,36.273993,14.998725,16.704922,12.833461,23.093599,7.1512369,4.7742923,0.35960214,0.142744365078352,0.0890674970344977,0.10296648916898,0.0642474921071447,1.0,1.0,1.0,1.0,1.0,1.0,0.582254109,0.81939259,0.477094702411652,2019
1789,1,1,10/22/2019 14:34:25,10/22/2019 15:04:30,30.0666666666667,1.0,,2,2000,19,1,2,25,1.0,1.0,2.0,3.0,2.0,3.0,3.0,17.0,4.0,50.0,6.0,64.0,7.0,50.0,6.0,2.0,,3.0,4.0,,,1.0,,,,,,,,,,,2.0,2.0,3.0,3.0,,3.0,,,1.0,,0.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,50.0,6.0,2.0,,,,,1.0,,4.0,,1.0,,2.0,,2.0,,2.0,,3.0,,1.0,,2.0,,1.0,,3.0,,3.0,,3.0,,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,1.0,7.0,0.0,10.0,8.0,1.0,,0.0,,,,,,9.0,9.0,2.0,10.0,0.0,4.0,9.0,,10.0,4.0,2.0,1.0,,50.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,,1.0,,1.0,1.0,3.0,3.0,,,2.0,0.0,1.0,0.0,8.0,0.0,1.0,2.0,2.0,2.0,2.0,10.0,2.0,30.0,5.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,4.0,4.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,2000.0,4.0,3.0,2.0,0.0,2.0,8100.0,8236.0,,7.0,,6.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.0,2.0,2.0,,2341.0,2341.0,,2.0,6.0,14.0,7.0,2.0,14.0,7.0,2.0,9.0,1.0,1.0,GE,1,fr,,,75247.247,11.0,4.0,36.273993,14.998725,16.704922,12.833461,23.093599,7.1512369,4.7742923,0.35960214,0.142744365078352,0.282968856742758,0.142744365078352,0.282968856742758,1.0,1.0,1.0,1.0,1.0,1.0,1.796684786,1.0,1.796684786,2019
1790,1,0,10/24/2019 17:05:00,10/24/2019 17:41:42,36.7,1.0,,2,1973,46,4,1,25,3.0,2.0,3.0,4.0,4.0,3.0,4.0,8.0,5.0,402.0,7.0,1.0,16.0,405.0,7.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,,,,,,0.0,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,402.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,,,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,9.0,1.0,8.0,9.0,7.0,8.0,5.0,,9.0,5.0,2.0,2.0,2.0,,,,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,,1.0,2.0,2.0,3.0,2.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,,,,,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,3.0,4.0,0.0,3.0,0.0,4.0,0.0,4.0,1.0,1973.0,1.0,5.0,,3.0,2.0,8100.0,,,2.0,5.0,9.0,,1.0,,2.0,2.0,,,,,3111.0,3111.0,,2.0,2.0,,4.0,4.0,,2.0,6.0,3.0,2.0,13.0,3.0,2.0,2.0,,2262.0,2262.0,,1.0,3.0,13.0,7.0,1.0,,,,,,,,,,,,,,6.0,3.0,2.0,10.0,2.0,1.0,GE,1,fr,8100.0,5.0,86601.858,11.0,1.0,47.871845,12.61601,17.868143,15.125433,25.996981,5.405378,5.0114997,0.22442197,0.142744365078352,0.282968856742758,0.142744365078352,0.282968856742758,1.0,1.0,1.0,1.0,1.0,1.0,1.796684786,1.0,1.796684786,2019
1792,1,0,11/17/2019 12:08:07,11/17/2019 12:29:16,21.15,1.0,,1,1971,48,4,1,16,2.0,1.0,2.0,4.0,3.0,3.0,3.0,17.0,4.0,20.0,3.0,73.0,9.0,,,2.0,4.0,4.0,2.0,5.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,,,,,,0.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,20.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,16.0,20.0,3.0,2.0,3.0,9.0,9.0,5.0,2.0,7.0,9.0,3.0,,,8.0,6.0,7.0,6.0,,6.0,4.0,1.0,9.0,1.0,3.0,8.0,,,6.0,2.0,1.0,,20.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,3.0,1.0,,,1.0,1.0,1.0,4.0,4.0,4.0,,,6.0,9.0,8.0,7.0,8.0,9.0,8.0,,2.0,1.0,2.0,20.0,3.0,20.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,1994.0,1.0,4.0,,0.0,1.0,8100.0,,,2.0,4.0,11.0,2.0,1.0,,2.0,2.0,,,,,2500.0,2500.0,,1.0,1.0,,8.0,8.0,,1.0,5.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,1.0,15.0,1.0,2.0,AI,5,de,8100.0,4.0,77912.121,32.0,6.0,5.3179825,27.785614,7.5458392,,,63.610719,,,0.217197105434409,0.430560019506729,0.217197105434409,0.430560019506729,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2019
1793,1,1,11/4/2019 11:09:42,11/4/2019 11:29:43,20.0,1.0,,2,1989,30,2,1,25,2.0,2.0,2.0,4.0,4.0,2.0,2.0,,,,,,,,,2.0,,4.0,2.0,,,3.0,,,,,,,,,,,3.0,2.0,2.0,3.0,,1.0,2.0,,,,0.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,60.0,4.0,2.0,,,,2.0,1.0,,3.0,,1.0,,3.0,,1.0,,1.0,,1.0,,2.0,,2.0,,2.0,,2.0,,4.0,,2.0,,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,25.0,10.0,2.0,,,9.0,9.0,2.0,0.0,9.0,9.0,3.0,,0.0,,,,,,8.0,6.0,2.0,,3.0,5.0,6.0,,,6.0,2.0,2.0,2.0,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,,1.0,4.0,4.0,4.0,4.0,4.0,,,7.0,3.0,6.0,7.0,7.0,5.0,4.0,,,,1.0,10.0,2.0,10.0,2.0,4.0,5.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,4.0,0.0,4.0,1.0,2014.0,4.0,4.0,1.0,1.0,2.0,8100.0,,,2.0,5.0,13.0,1.0,1.0,,2.0,2.0,,,,,2000.0,2000.0,,1.0,1.0,,8.0,8.0,,1.0,9.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,5.0,1.0,14.0,1.0,1.0,GE,1,fr,,,267003.4,11.0,6.0,29.10628,18.922919,4.2240692,42.001594,16.771035,3.5978595,5.9546852,0.45542525,0.142744365078352,0.282968856742758,0.142744365078352,0.282968856742758,1.0,1.0,1.0,1.0,1.0,1.0,1.796684786,1.0,1.796684786,2019
1794,1,0,10/21/2019 15:21:44,10/21/2019 15:40:22,18.6333333333333,1.0,,1,1975,44,3,2,3,2.0,2.0,1.0,2.0,4.0,2.0,2.0,47.0,16.0,20.0,3.0,40.0,14.0,60.0,4.0,2.0,5.0,4.0,3.0,4.0,5.0,4.0,2.0,5.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,4.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,25.0,20.0,3.0,993.0,993.0,9.0,1.0,1.0,3.0,30.0,5.0,5.0,5.0,6.0,7.0,8.0,0.0,9.0,9.0,0.0,,,1.0,5.0,7.0,1.0,7.0,7.0,5.0,1.0,10.0,1.0,2.0,10.0,,,4.0,2.0,1.0,,60.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0,,,1.0,1.0,1.0,4.0,4.0,2.0,,,7.0,2.0,6.0,8.0,6.0,8.0,7.0,2.0,2.0,2.0,4.0,20.0,3.0,,,2.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,5.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,0.0,4.0,1.0,2004.0,1.0,4.0,,2.0,1.0,8100.0,,,1.0,4.0,9.0,,2.0,,3.0,3.0,,,,,2341.0,2341.0,,2.0,2.0,,6.0,6.0,,2.0,14.0,7.0,2.0,11.0,1.0,2.0,3.0,,3310.0,3310.0,,3.0,8.0,10.0,5.0,2.0,,,,,,,,,,,,,,14.0,7.0,2.0,9.0,1.0,2.0,LU,6,de,8100.0,4.0,73771.954,12.0,5.0,11.041092,25.024025,18.366327,13.842014,9.6290602,24.735729,7.2227561,,2.28985004689936,1.42878643335381,1.99129257632133,1.24249700181836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2019
